title,link,Published_year,Venue_abbr,dataset_names,manual_analysis_type_classificaiton,manual_research_topic_classification
"An empirical study of CGO usage in Go projects - Distribution, purposes, patterns and critical issues",https://doi.org/10.1016/j.jss.2025.112601,2025,JSS,,both,dev_environments
Input sensitivity on the performance of configurable systems an empirical study,https://doi.org/10.1016/j.jss.2023.111671,2021,JSS,,quantitative,other_se
Learning input-aware performance models of configurable systems: An empirical evaluation,https://doi.org/10.1016/j.jss.2023.111883,2023,JSS,,quantitative,other_se
An empirical study of COVID-19 related posts on Stack Overflow: Topics and technologies,https://doi.org/10.1016/j.jss.2021.111089,2021,JSS,,quantitative,dev_environments
Translation from layout-based to visual android test scripts: An empirical evaluation,https://doi.org/10.1016/j.jss.2020.110845,2021,JSS,,quantitative,testing_debugging
Bug Priority Change: An Empirical Study on Apache Projects,https://doi.org/10.1016/j.jss.2024.112019,2024,JSS,,quantitative,testing_debugging
Open Data Ecosystems - an empirical investigation into an emerging industry collaboration concept,https://doi.org/10.1016/j.jss.2021.111088,2021,JSS,,both,libraries_ecosystems
Exploring multi-programming-language commits and their impacts on software quality: An empirical study on Apache projects,https://doi.org/10.1016/j.jss.2022.111508,2022,JSS,,quantitative,maintenance_evolution
An empirical characterization of software bugs in open-source Cyber-Physical Systems,https://doi.org/10.1016/j.jss.2022.111425,2022,JSS,,both,testing_debugging
An empirical comparison of four Java-based regression test selection techniques,https://doi.org/10.1016/j.jss.2021.111174,2021,JSS,,quantitative,testing_debugging
Exploring factors and metrics to select open source software components for integration: An empirical study,https://doi.org/10.1016/j.jss.2022.111255,2021,JSS,,both,libraries_ecosystems
How Dataflow Diagrams Impact Software Security Analysis: an Empirical Experiment,https://doi.org/10.1109/SANER60148.2024.00103,2024,SANER,,both,other_se
"An Empirical Study on Microservices Deployment Trends, Topics and Challenges in Stack Overflow",https://doi.org/10.1109/SANER64311.2025.00019,2025,SANER,,both,deployment_operation
An Empirical Study of Smart Contract Decompilers,https://doi.org/10.1109/SANER56733.2023.00011,2023,SANER,,quantitative,program_analysis
An Empirical Comparison of Model-Agnostic Techniques for Defect Prediction Models,https://doi.org/10.1109/SANER56733.2023.00026,2023,SANER,,quantitative,testing_debugging
Empirical Derivations from an Evolving Test Suite,https://doi.org/10.1109/SANER-C67878.2026.00050,2025,SANER,,quantitative,testing_debugging
An Empirical Investigation into the Use of Image Captioning for Automated Software Documentation,https://doi.org/10.1109/SANER53432.2022.00069,2022,SANER,functional GUI descriptions dataset,both,program_analysis
What Drives Issue Resolution Speed? An Empirical Study of Scientific Workflow Systems on GitHub,https://doi.org/10.1109/SANER67736.2026.00116,2025,SANER,,quantitative,vcs_collaboration
"Searching for Technical Debt - An Empirical, Exploratory, and Descriptive Case Study",https://doi.org/10.1109/saner53432.2022.00119,2022,SANER,,both,maintenance_evolution
On the Usefulness of Python Structural Pattern Matching: An Empirical Study,https://doi.org/10.1109/SANER60148.2024.00058,2024,SANER,,both,languages_compilers
An Empirical Investigation into the Reproduction of Bug Reports for Android Apps,https://doi.org/10.1109/SANER53432.2022.00048,2022,SANER,180 reproducible Android bug reports dataset,both,testing_debugging
Cold-Start Anti-Patterns and Refactorings in Serverless Systems: An Empirical Study,https://doi.org/10.1109/SANER67736.2026.00030,2025,SANER,SCABench,both,maintenance_evolution
An Empirical Study of Transformer Models on Automatically Templating GitHub Issue Reports,https://doi.org/10.1109/SANER64311.2025.00064,2025,SANER,,quantitative,documentation
An Empirical Investigation on the Performance of Domain Adaptation for T5 Code Completion,https://doi.org/10.1109/SANER56733.2023.00073,2023,SANER,,quantitative,program_synthesis
Characterizing Duplicate Bugs: An Empirical Analysis,https://doi.org/10.1109/SANER50967.2021.00084,2021,SANER,,quantitative,testing_debugging
Do Developers Refactor Data Access Code? An Empirical Study,https://doi.org/10.1109/saner53432.2022.00014,2022,SANER,,both,maintenance_evolution
A Large-Scale Empirical Study of Android App Decompilation,https://doi.org/10.1109/SANER50967.2021.00044,2021,SANER,,both,program_analysis
An Empirical Study for Common Language Features Used in Python Projects,https://doi.org/10.1109/SANER50967.2021.00012,2021,SANER,,both,languages_compilers
Towards Understanding Fixes of SonarQube Static Analysis Violations: A Large-Scale Empirical Study,https://doi.org/10.1109/SANER56733.2023.00059,2023,SANER,,quantitative,program_analysis
A First Look at Package-to-Group Mechanism: An Empirical Study of the Linux Distributions,https://doi.org/10.1109/SANER64311.2025.00035,2024,SANER,,both,libraries_ecosystems
23 shades of self-admitted technical debt: an empirical study on machine learning software,https://doi.org/10.1145/3540250.3549088,2022,FSE,"ML SATD dataset from 2,641 GitHub ML repositories",both,maintenance_evolution
An empirical investigation of practical log anomaly detection for online service systems,https://doi.org/10.1145/3468264.3473933,2021,FSE,,quantitative,deployment_operation
Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,https://doi.org/10.1145/3728963,2025,FSE,,quantitative,program_synthesis
An Empirical Study of Suppressed Static Analysis Warnings,https://doi.org/10.1145/3715729,2025,FSE,,both,program_analysis
Empirically Evaluating the Impact of Object-Centric Breakpoints on the Debugging of Object-Oriented Programs,https://doi.org/10.1145/3715759,2025,FSE,,quantitative,testing_debugging
An Empirical Study on Release-Wise Refactoring Patterns,https://doi.org/10.1145/3715734,2025,FSE,,quantitative,maintenance_evolution
An Empirical Study on Focal Methods in Deep-Learning-Based Approaches for Assertion Generation,https://doi.org/10.1145/3660785,2024,FSE,ATLAS+,quantitative,testing_debugging
Component Security Ten Years Later: An Empirical Study of Cross-Layer Threats in Real-World Mobile Applications,https://doi.org/10.1145/3643730,2024,FSE,,quantitative,testing_debugging
Dependency-Induced Waste in Continuous Integration: An Empirical Study of Unused Dependencies in the npm Ecosystem,https://doi.org/10.1145/3660823,2024,FSE,"npm dependency update commits dataset (20,743 commits across 1,487 projects)",quantitative,libraries_ecosystems
Why the Proof Fails in Different Versions of Theorem Provers: An Empirical Study of Compatibility Issues in Isabelle,https://doi.org/10.1145/3715787,2025,FSE,Isabelle compatibility issues dataset,both,formal_verification
A Large-Scale Empirical Study on Fine-Tuning Large Language Models for Unit Testing,https://doi.org/10.1145/3728951,2024,FSE,,quantitative,testing_debugging
An empirical study of token-based micro commits,https://doi.org/10.1007/s10664-024-10527-8,2024,EMSE,,quantitative,maintenance_evolution
An empirical study of business process models and model clones on GitHub,https://doi.org/10.1007/s10664-024-10584-z,2024,EMSE,,quantitative,reuse
An empirical study on software understandability and its dependence on code characteristics,https://doi.org/10.1007/s10664-023-10396-7,2023,EMSE,,quantitative,program_analysis
"What characteristics make ChatGPT effective for software issue resolution? An empirical study of task, project, and conversational signals in GitHub issues",https://doi.org/10.1007/s10664-025-10745-8,2025,EMSE,,both,vcs_collaboration
An empirical evaluation of pre-trained large language models for repairing declarative formal specifications,https://doi.org/10.1007/s10664-025-10687-1,2024,EMSE,,quantitative,testing_debugging
An empirical study of data constraint implementations in Java,https://doi.org/10.1007/s10664-022-10175-w,2021,EMSE,,both,program_analysis
Automated detection of algorithm debt in deep learning frameworks: an empirical study,https://doi.org/10.1007/s10664-026-10807-5,2024,EMSE,,quantitative,maintenance_evolution
Mitigating omitted variable bias in empirical software engineering,https://doi.org/10.1007/s10664-026-10851-1,2025,EMSE,,quantitative,other_se
On the suitability of hugging face hub for empirical studies,https://doi.org/10.1007/s10664-024-10608-8,2023,EMSE,,both,libraries_ecosystems
An empirical study on changing leadership in agile teams,https://doi.org/10.1007/s10664-021-09949-5,2021,EMSE,,qualitative,process_management
An empirical study on the effectiveness of large language models for SATD identification and classification,https://doi.org/10.1007/s10664-024-10548-3,2024,EMSE,,both,maintenance_evolution
An empirical study of fault localisation techniques for deep neural networks,https://doi.org/10.1007/s10664-025-10657-7,2025,EMSE,,quantitative,testing_debugging
Machine learning experiment management tools: a mixed-methods empirical study,https://doi.org/10.1007/s10664-024-10444-w,2024,EMSE,,both,dev_environments
An empirical study on LLM-based classification of requirements-related provisions in food-safety regulations,https://doi.org/10.1007/s10664-025-10619-z,2025,EMSE,,both,requirements
